neighbourhood,cluster
bedford-park-nortown,0
bridle-path-sunnybrook-york-mills,0
centennial-scarborough,0
forest-hill-south,0
fort-york-liberty-village,0
kingsway-south,0
lawrence-park-north,0
lawrence-park-south,0
leaside-bennington,0
mount-pleasant-east,0
north-riverdale,0
princess-rosethorn,0
rosedale-moore-park,0
runnymede-bloor-west-village,0
standrew-windfields,0
the-beaches,0
wellington-place,0
west-queen-west,0
yonge-stclair,0
alderwood,1
annex,1
avondale,1
banbury-don-mills,1
bathurst-manor,1
bay-cloverhill,1
bayview-village,1
bayview-woods-steeles,1
bendale-glen-andrew,1
birchcliffe-cliffside,1
blake-jones,1
cabbagetown-south-stjames-town,1
casa-loma,1
church-wellesley,1
clanton-park,1
cliffcrest,1
corso-italia-davenport,1
danforth,1
danforth-east-york,1
don-valley-village,1
dovercourt-village,1
downtown-yonge-east,1
dufferin-grove,1
east-end-danforth,1
east-willowdale,1
edenbridge-humber-valley,1
eringate-centennial-west-deane,1
etobicoke-city-centre,1
forest-hill-north,1
greenwood-coxwell,1
guildwood,1
harbourfront-cityplace,1
henry-farm,1
high-park-north,1
high-park-swansea,1
highland-creek,1
hillcrest-village,1
humber-bay-shores,1
humewood-cedarvale,1
islington,1
junction-area,1
junction-wallace-emerson,1
lambton-baby-point,1
lansing-westgate,1
little-portugal,1
long-branch,1
markland-wood,1
mimico-queensway,1
morningside-heights,1
moss-park,1
newtonbrook-east,1
newtonbrook-west,1
north-toronto,1
oakwood-village,1
old-east-york,1
palmerston-little-italy,1
playter-estates-danforth,1
roncesvalles,1
south-eglinton-davisville,1
south-riverdale,1
st-lawrence-east-bayfront-the-islands,1
stonegate-queensway,1
trinity-bellwoods,1
university,1
west-rouge,1
willowdale-west,1
woodbine-corridor,1
woodbine-lumsden,1
wychwood,1
yonge-bay-corridor,1
yonge-doris,1
yonge-eglinton,1
agincourt-north,2
agincourt-south-malvern-west,2
beechborough-greenbrook,2
bendale-south,2
black-creek,2
briar-hill-belgravia,2
broadview-north,2
brookhaven-amesbury,2
caledonia-fairbank,2
clairlea-birchmount,2
dorset-park,2
downsview,2
east-l'amoreaux,2
eglinton-east,2
elms-old-rexdale,2
englemount-lawrence,2
etobicoke-west-mall,2
fenside-parkwoods,2
flemingdon-park,2
glenfield-jane-heights,2
golfdale-cedarbrae-woburn,2
humber-heights-westmount,2
humber-summit,2
humbermede,2
ionview,2
keelesdale-eglinton-west,2
kennedy-park,2
kensington-chinatown,2
kingsview-village-the-westway,2
l'amoreaux-west,2
malvern-east,2
malvern-west,2
maple-leaf,2
milliken,2
morningside,2
mount-dennis,2
mount-olive-silverstone-jamestown,2
new-toronto,2
north-stjames-town,2
o'connor-parkview,2
oakdale-beverley-heights,2
oakridge,2
parkwoods-o'connor-hills,2
pelmo-park-humberlea,2
pleasant-view,2
regent-park,2
rexdale-kipling,2
rockcliffe-smythe,2
rustic,2
scarborough-village,2
south-parkdale,2
steeles,2
tam-o'shanter-sullivan,2
taylor-massey,2
thistletown-beaumond-heights,2
thorncliffe-park,2
victoria-village,2
west-hill,2
west-humber-clairville,2
westminster-branson,2
weston,2
weston-pelham-park,2
wexford/maryvale,2
willowridge-martingrove-richview,2
woburn-north,2
york-university-heights,2
yorkdale-glen-park,2
