SES,year,assault_mean_rate,breakenter_mean_rate,robbery_mean_rate,shooting_mean_rate
Medium Opportunity,2019,736.9960747,329.0304066,124.289294,10.08651742
High Opportunity,2024,500.1473846,291.2165487,66.89783553,6.405003272
High Opportunity,2019,446.6752111,348.5509306,95.01044268,5.436328687
Low Opportunity,2022,717.8407479,167.1842093,91.08698016,18.44808561
Medium Opportunity,2020,630.471256,291.4557374,102.8292218,7.977024847
Medium Opportunity,2021,652.9337754,224.6583089,81.43655205,6.991683294
Low Opportunity,2023,805.5518471,214.3162935,104.6738851,15.65982962
High Opportunity,2021,414.6138041,201.5106806,53.49814992,3.908385126
Low Opportunity,2019,758.3876812,246.0406043,126.0206893,27.95127826
Low Opportunity,2024,818.7931275,173.9685216,102.3670768,25.09657596
Medium Opportunity,2022,721.6650647,228.9759884,100.0640524,8.677725103
High Opportunity,2020,359.0918531,282.7635026,66.78611123,4.064768189
Low Opportunity,2021,674.8177426,155.1968072,74.13174908,23.01072285
High Opportunity,2022,452.4417291,228.518698,56.8779598,4.697619313
Medium Opportunity,2023,796.0325402,249.6666941,101.3257427,8.16564405
Low Opportunity,2020,657.1606368,182.1565561,90.23149608,25.62924691
Medium Opportunity,2024,828.6915321,240.6315425,102.2271919,7.753067546
High Opportunity,2023,482.4474519,356.2561083,62.18527759,4.432069352
